movie_id,title,year,genres,overview
71,No Country for Old Men,2007,Thriller|Crime|Western,A hunter who stumbles on drug money is stalked by an unstoppable killer across the desert.
72,"The Good, the Bad and the Ugly",1966,Western,Three gunslingers race to find a fortune in gold buried during the Civil War.
73,Unforgiven,1992,Western|Drama,A retired gunfighter takes one last job that forces him to confront his violent past.
74,12 Years a Slave,2013,Drama|History,A free Black man is kidnapped and sold into slavery in the antebellum South.
75,The Social Network,2010,Drama|History,The founding of a world-changing company fractures the friendship at its center.
76,The Wolf of Wall Street,2013,Drama|Comedy|Crime,"A stockbroker's rise and fall is fueled by fraud, excess, and unchecked ambition."
77,A Beautiful Mind,2001,Drama|Biography,A brilliant mathematician struggles with schizophrenia while making groundbreaking discoveries.
78,The Imitation Game,2014,Drama|History|Thriller,A socially awkward mathematician races to crack a Nazi code that could end the war.
79,Dune,2021,Sci-Fi|Adventure,A young heir is thrust into a war over a desert planet that holds the universe's most valuable resource.
80,Blade Runner 2049,2017,Sci-Fi|Thriller,A replicant detective uncovers a secret that could unravel the fragile order between humans and machines.
81,Arrival,2016,Sci-Fi|Drama|Mystery,A linguist is recruited to communicate with mysterious visitors before global panic turns to war.
82,Ex Machina,2014,Sci-Fi|Drama|Thriller,A programmer is invited to test whether an android's mind is truly conscious.
83,Her,2013,Sci-Fi|Romance|Drama,A lonely writer falls in love with an intelligent operating system designed to meet his every need.
84,Children of Men,2006,Sci-Fi|Drama|Thriller,"In a world where no child has been born for years, one man protects humanity's last hope."
85,The Truman Show,1998,Drama|Comedy|Sci-Fi,A man slowly realizes his entire life has been broadcast as a reality show.
86,Requiem for a Dream,2000,Drama,Four intertwined lives spiral into addiction with devastating consequences.
87,American Beauty,1999,Drama,A suburban father's midlife crisis unravels the quiet dysfunction of his family.
88,There Will Be Blood,2007,Drama,An oil prospector's ruthless ambition consumes everyone around him.
89,Moonlight,2016,Drama,A young man's identity and sexuality unfold across three chapters of his life in Miami.
90,Manchester by the Sea,2016,Drama,A withdrawn handyman is forced to confront old grief when he becomes his nephew's guardian.
91,The Pianist,2002,Drama|War|Biography,A Jewish pianist struggles to survive the destruction of Warsaw during World War II.
92,Slumdog Millionaire,2008,Drama|Romance,A young man from the Mumbai slums recounts the life story behind his game-show success.
93,City of God,2002,Drama|Crime,Two boys take different paths through decades of gang violence in a Rio favela.
94,Oldboy,2003,Thriller|Mystery|Drama,A man seeks revenge after being inexplicably imprisoned alone for fifteen years.
95,Prisoners,2013,Thriller|Drama|Mystery,A desperate father takes matters into his own hands after his daughter's abduction.
96,Gone Girl,2014,Thriller|Mystery|Drama,A man becomes the prime suspect when his wife vanishes on their anniversary.
97,Zodiac,2007,Thriller|Crime|Mystery,A cartoonist becomes obsessed with identifying a serial killer taunting the police with ciphers.
98,Shutter Island,2010,Thriller|Mystery,A U.S. Marshal investigates a disappearance at an isolated hospital for the criminally insane.
99,The Sixth Sense,1999,Thriller|Drama|Mystery,A troubled child psychologist tries to help a boy who claims he can see the dead.
100,Coraline,2009,Animation|Fantasy|Horror,A girl discovers an idealized parallel world hiding a sinister truth behind a small door.
101,WALL-E,2008,Animation|Sci-Fi|Family,A lonely trash-collecting robot on a ruined Earth finds purpose chasing a sleek probe from space.
102,Ratatouille,2007,Animation|Comedy|Family,A rat with a gift for cooking secretly guides a clumsy chef through a Parisian kitchen.
103,Zootopia,2016,Animation|Comedy|Mystery,A rookie rabbit officer and a con-artist fox uncover a conspiracy in a city of anthropomorphic animals.
104,Kung Fu Panda,2008,Animation|Action|Comedy,An unlikely panda is chosen as a legendary warrior meant to protect his valley.
105,Moana,2016,Animation|Adventure|Family,A chief's daughter sails beyond her reef to save her island alongside a fallen demigod.
106,Frozen,2013,Animation|Family|Fantasy,"A princess sets out to find her sister, whose icy powers have plunged their kingdom into eternal winter."
107,Your Name,2016,Animation|Romance|Fantasy,Two teenagers mysteriously swap bodies and race against time to meet before a looming disaster.
